"cluster","yi","vyi","Zc","Zb"
1,-0.987696089802022,0.0356172363722627,-2.34991701346394,1
1,-0.534319586382531,0.0657579160348571,-0.668709168096819,1
2,-0.440971001236872,0.0744950493084714,0.528728515820815,0
2,-0.559427161380191,0.0539802516161682,-0.192885330786023,0
3,0.640140375975584,0.0627595500071206,1.03215018407799,1
3,-0.17151421156282,0.0743464548589631,0.733023898192931,0
4,-1.12934494457616,0.0429417592770358,-0.407457682561288,0
4,-1.08834128409054,0.0588749150683067,-0.214973089118679,0
5,0.740954865306737,0.0619493776262444,1.21011066781721,1
5,0.101806682919546,0.0282055091573489,-0.197297670272982,1
6,0.588102219711213,0.0463659123379403,0.99013823223153,1
6,-0.275143782583365,0.0776510009720604,-0.88164132596687,1
7,-1.01479201032706,0.0317950803669846,0.128625093968934,0
7,-1.82363324187856,0.0608905279617446,-0.584235151827225,0
8,1.30123728699535,0.0897520229358057,2.06472557212835,1
8,0.845536005044459,0.0558649431783753,0.750253419975879,1
9,-0.33700602569796,0.0436213605449287,1.03853015688027,0
9,-1.01004321580535,0.034961966270521,-1.55895878297162,1
10,-0.319409732491494,0.0364955971946409,-0.82790152917311,1
10,0.396363851543265,0.075528743544539,1.59983277729329,1
11,-1.48474562781097,0.0398612092941554,-1.25668222726632,0
11,0.0021794358263071,0.0305343692745821,-0.725671193648127,1
12,-0.289061677167306,0.0511617509696631,-0.460452266849745,1
12,0.000314160978293765,0.0579710152079502,-0.162110554141489,1
13,-0.851602836338929,0.077903815989826,-0.636243771873568,0
13,0.903166910880887,0.0358362214183338,1.08722066542985,1
14,-1.54038323356301,0.0545935816118001,-0.978984564068922,0
14,0.238266057616305,0.0660391042148526,0.250282048704761,1
15,-0.699331371320717,0.0684601965073654,0.327450233720139,0
15,-1.4394168426758,0.0352165064579677,-1.27713789675485,0
16,-1.61236957646373,0.0588874202839213,-1.33694235288013,0
16,-0.477523741191429,0.0279864929367397,-1.63716305778814,1
17,0.765515789060955,0.029606946287247,0.600467543395229,1
17,1.27524065574852,0.0517539716670641,1.53163552954356,1
18,0.498621361110225,0.0385449685128758,0.9295972442726,1
18,-0.567826294935492,0.0447442295764525,-0.995316878891978,1
19,0.104788425008274,0.0354468168761757,0.691401227092057,1
